timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-02-14,0.08209000,0.08371000,0.08002000,0.08360000,785765214.00000000,1676419199999,64655649.89362000,143143,406497147.00000000,33450731.27005000,0
2023-02-15,0.08360000,0.08961000,0.08265000,0.08928000,1906740485.00000000,1676505599999,164949294.37830000,292835,988439858.00000000,85515438.80944000,0
2023-02-16,0.08927000,0.09199000,0.08468000,0.08489000,1730290902.00000000,1676591999999,153466131.89796000,300626,883330696.00000000,78426613.62316000,0
2023-02-17,0.08489000,0.08851000,0.08430000,0.08771000,778220031.00000000,1676678399999,67464093.70005000,147847,382912705.00000000,33199519.58282000,0
2023-02-18,0.08771000,0.09049000,0.08675000,0.08882000,741187928.00000000,1676764799999,65484108.61835000,124096,354857485.00000000,31367249.65536000,0
2023-02-19,0.08882000,0.09000000,0.08559000,0.08697000,933849140.00000000,1676851199999,82306169.70701000,172888,449395962.00000000,39627957.87158000,0
2023-02-20,0.08698000,0.08875000,0.08513000,0.08829000,774767125.00000000,1676937599999,68018886.37176000,141122,394433212.00000000,34635790.23435000,0
2023-02-21,0.08829000,0.08884000,0.08429000,0.08546000,984199238.00000000,1677023999999,85232827.50392000,159862,461482939.00000000,39978722.05099000,0
2023-02-22,0.08546000,0.08882000,0.08286000,0.08550000,1754704513.00000000,1677110399999,149908952.30165000,285275,862187204.00000000,73670022.07185000,0
2023-02-23,0.08550000,0.08642000,0.08350000,0.08425000,708234194.00000000,1677196799999,60199078.97120000,134706,357717719.00000000,30408658.70937000,0
2023-02-24,0.08424000,0.08499000,0.07922000,0.08092000,1006076322.00000000,1677283199999,82530619.10414000,193843,452507303.00000000,37160357.55413000,0
2023-02-25,0.08091000,0.08216000,0.07836000,0.08075000,671481093.00000000,1677369599999,54081162.09407000,130910,323358712.00000000,26052138.81215000,0
2023-02-26,0.08075000,0.08264000,0.08041000,0.08216000,375150914.00000000,1677455999999,30560244.62016000,74380,200601603.00000000,16338890.12267000,0
2023-02-27,0.08217000,0.08231000,0.07992000,0.08136000,535217985.00000000,1677542399999,43460355.71943000,88650,260937940.00000000,21192442.34138000,0
2023-02-28,0.08136000,0.08312000,0.07990000,0.08085000,782956200.00000000,1677628799999,63984919.93669000,124371,383072619.00000000,31314055.08666000,0
2023-03-01,0.08085000,0.08284000,0.08023000,0.08193000,449680442.00000000,1677715199999,36808992.52678000,89117,236351999.00000000,19349089.34765000,0
2023-03-02,0.08193000,0.08226000,0.07959000,0.08056000,396580116.00000000,1677801599999,31970325.35816000,72829,194297172.00000000,15665635.50169000,0
2023-03-03,0.08057000,0.08062000,0.07320000,0.07684000,1391618480.00000000,1677887999999,105146374.86489000,239119,645159167.00000000,48734449.22906000,0
2023-03-04,0.07684000,0.07727000,0.07255000,0.07462000,646573785.00000000,1677974399999,48320706.02664000,113220,321572800.00000000,24025032.16555000,0
2023-03-05,0.07462000,0.07612000,0.07429000,0.07474000,473247429.00000000,1678060799999,35616591.62325000,82040,227975242.00000000,17158404.86244000,0
2023-03-06,0.07475000,0.07515000,0.07316000,0.07479000,601290505.00000000,1678147199999,44598491.06599000,105247,290868803.00000000,21579125.42867000,0
